Institution;Nom;Naam;Catégorie;Categorie;Langue;Taal;Type de tarification;Soort tarifering;Type d'accueil;Soort opvang;Statut;Status;Adresse;Adres;Code postal;Commune;Gemeente;Lien web;Weblink;Google Maps;Google Street View;Geo Point;Geo Shape;source;last_modified
ONE;Les Quatre Saisons;Les Quatre Saisons;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue notre seigneur 1;ons heerstraat 1;1000;Bruxelles;Brussel;https://creches.brussels.be/;https://creches.brussels.be/;googlemaps0%2C4.3494590716048105;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.840661572723945%2C4.3494590716048105;50.8406615727, 4.3494590716;"{""coordinates"": [4.3494590716, 50.8406615727], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Marie Popelin;Marie Popelin;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue laƒa©opold 1ier 210;rue laƒa©opold 1ier 210;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.34235330000049;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87683560000222%2C4.34235330000049;50.8768356, 4.3423533;"{""coordinates"": [4.3423533, 50.8768356], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Ernest Salu;Ernest Salu;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue de molenbeek 38;molenbeeksestraat 38;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.356828583869219;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87589228155671%2C4.356828583869219;50.8758922816, 4.3568285839;"{""coordinates"": [4.3568285839, 50.8758922816], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Reine Marie Henriette;Reine Marie Henriette;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue de la fleche 14;pijlstraat 14;1000;Bruxelles;Brussel;www.lafleche14.be;www.lafleche14.be;googlemaps0%2C4.353207630759395;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85849249724438%2C4.353207630759395;50.8584924972, 4.3532076308;"{""coordinates"": [4.3532076308, 50.8584924972], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;De Wand;De Wand;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue gustave demanet 16;gustave demanetstraat 16;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.358378782996536;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.897946710898474%2C4.358378782996536;50.8979467109, 4.358378783;"{""coordinates"": [4.358378783, 50.8979467109], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Les Piloux;Les Piloux;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue de heembeek 129;heembeeksestraat 129;1120;Bruxelles;Brussel;https://my.one.be/milieu-accueil/1045024;https://my.one.be/milieu-accueil/1045024;googlemaps0%2C4.379835122770491;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89092950789378%2C4.379835122770491;50.8909295079, 4.3798351228;"{""coordinates"": [4.3798351228, 50.8909295079], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;;;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Accueillant.e subventionné.e;Gesubsidieerde onthaalouder;subventionné;Gesubsidieerd;rue van campenhout;rue van campenhout;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/127490;https://my.one.be/milieu-accueil/127490;googlemaps0%2C4.386560600000489;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84859000000227%2C4.386560600000489;50.84859, 4.3865606;"{""coordinates"": [4.3865606, 50.84859], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;;;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Accueillant.e subventionné.e;Gesubsidieerde onthaalouder;subventionné;Gesubsidieerd;rue charles demeer;rue charles demeer;1020;Bruxelles;Brussel;https://my.one.be/milieu-accueil/8947;https://my.one.be/milieu-accueil/8947;googlemaps0%2C4.34298100000049;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.872285300002204%2C4.34298100000049;50.8722853, 4.342981;"{""coordinates"": [4.342981, 50.8722853], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Gabrielle Vandervelde;Gabrielle Vandervelde;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue de gravelines 55;grevelingenstraat 55;1000;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.382335154529745;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.848977009951696%2C4.382335154529745;50.84897701, 4.3823351545;"{""coordinates"": [4.3823351545, 50.84897701], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Les Sources;Les Sources;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue de la paroisse 34;parochiestraat 34;1130;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.420639912555468;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89257727756595%2C4.420639912555468;50.8925772776, 4.4206399126;"{""coordinates"": [4.4206399126, 50.8925772776], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Jacques Creyelman;Jacques Creyelman;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue d anderlecht 45;anderlechtsesteenweg 45;1000;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.344323418816742;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.845570482959126%2C4.344323418816742;50.845570483, 4.3443234188;"{""coordinates"": [4.3443234188, 50.845570483], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Les Diablotins Everois;Les Diablotins Everois;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;chaussee de haecht 1422;chaussee de haecht 1422;1130;Bruxelles;Brussel;https://my.one.be/milieu-accueil/6752;https://my.one.be/milieu-accueil/6752;googlemaps0%2C4.416011700000489;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88125910000218%2C4.416011700000489;50.8812591, 4.4160117;"{""coordinates"": [4.4160117, 50.8812591], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
Kind&Gezin;Babilou Upsite;Babilou Upsite;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Quai des Péniches 55;Akenkaai 55;1000;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.351603078302314;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.86345843622647%2C4.351603078302314;50.8634584362, 4.3516030783;"{""coordinates"": [4.3516030783, 50.8634584362], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Kakelbont;Kakelbont;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Rue Reper-Vreven 100;Reper-Vrevenstraat 100;1020;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.338383066371072;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89015734410799%2C4.338383066371072;50.8901573441, 4.3383830664;"{""coordinates"": [4.3383830664, 50.8901573441], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Kinderopvanglocatie Kim Gevaert;Kinderopvanglocatie Kim Gevaert;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Avenue Mutsaard 63;Mutsaardlaan 63;1020;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.357341817365964;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.898166204239295%2C4.357341817365964;50.8981662042, 4.3573418174;"{""coordinates"": [4.3573418174, 50.8981662042], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Onze Vriendjes;Onze Vriendjes;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Rue François Vekemans 145;Frans Vekemansstraat 145;1120;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.385717715219267;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89467416373395%2C4.385717715219267;50.8946741637, 4.3857177152;"{""coordinates"": [4.3857177152, 50.8946741637], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;Pacheco;Pacheco;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Rue Montagne de l'Oratoire 20;Oratoriënberg 20;1000;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.3618546990328415;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84939222498525%2C4.3618546990328415;50.849392225, 4.361854699;"{""coordinates"": [4.361854699, 50.849392225], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;kinderdagverblijf Nieuwkinderland;kinderdagverblijf Nieuwkinderland;Crèche ou accueillant.e néerlandophone subventionnée;Gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification liée au revenu;inkomenstarief;Accueil en groupe;Groepsopvang;subventionné;Gesubsidieerd;Rue Terre-Neuve 194;Nieuwland 194;1000;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.342868961378482;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83878941548737%2C4.342868961378482;50.8387894155, 4.3428689614;"{""coordinates"": [4.3428689614, 50.8387894155], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;KDV van FOD Buitenlandse Zaken;KDV van FOD Buitenlandse Zaken;Crèche ou accueillant.e néerlandophone non-subventionnée;Niet-gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification libre;vrije prijs;Accueil en groupe;Groepsopvang;non-subventionné;Niet-gesubsidieerd;Place du Petit Sablon 8;Kleine Zavel 8;1000;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.3569173785368465;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83892850578704%2C4.3569173785368465;50.8389285058, 4.3569173785;"{""coordinates"": [4.3569173785, 50.8389285058], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
Kind&Gezin;RGGL;RGGL;Crèche ou accueillant.e néerlandophone non-subventionnée;Niet-gesubsidieerde Nederlandstalige crèche of onthaalouder;Néerlandais;Nederlands;tarification libre;vrije prijs;Accueil en groupe;Groepsopvang;non-subventionné;Niet-gesubsidieerd;Avenue du Port 86;Havenlaan 86;1000;Bruxelles;Brussel;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;https://www.kindengezin.be/nl/thema/kinderopvang-en-naar-school/zoek-een-opvang;googlemaps0%2C4.348662800000487;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.86480190000223%2C4.348662800000487;50.8648019, 4.3486628;"{""coordinates"": [4.3486628, 50.8648019], ""type"": ""Point""}";Kind&Gezin;2025-12-17T01:00:00+01:00
ONE;Le Trefle A  Quatre Feuilles V;Le Trefle A  Quatre Feuilles V;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;avenue de cortenbergh 172;kortenberglaan 172;1000;Bruxelles;Brussel;www.esedraservices.com;www.esedraservices.com;googlemaps0%2C4.391461697099352;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.845922527770185%2C4.391461697099352;50.8459225278, 4.3914616971;"{""coordinates"": [4.3914616971, 50.8459225278], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;La Maison d'Enfants d'Actiris site 4;La Maison d'Enfants d'Actiris site 4;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;non-subventionné;Niet-gesubsidieerd;boulevard du midi 33;zuidlaan 33;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/194040;https://my.one.be/milieu-accueil/194040;googlemaps0%2C4.3402523845147325;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.842591547650535%2C4.3402523845147325;50.8425915477, 4.3402523845;"{""coordinates"": [4.3402523845, 50.8425915477], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Les Petits Pas;Les Petits Pas;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue vanderhaegen 34;vanderhaegenstraat 34;1000;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.3446976384547975;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8390537721738%2C4.3446976384547975;50.8390537722, 4.3446976385;"{""coordinates"": [4.3446976385, 50.8390537722], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;LES JARDINS DE MAUD;LES JARDINS DE MAUD;Crèche ou accueillant.e francophone non-subventionnée;Niet-gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Halte-accueil;Occasionele opvang;non-subventionné;Niet-gesubsidieerd;rue de la roue 49;radstraat 49;1000;Bruxelles;Brussel;http://lesjardinsdemaud.be/;http://lesjardinsdemaud.be/;googlemaps0%2C4.347031482362651;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.841349421533025%2C4.347031482362651;50.8413494215, 4.3470314824;"{""coordinates"": [4.3470314824, 50.8413494215], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Etoile du Nord;Etoile du Nord;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue suzanne tassier 77;rue suzanne tassier 77;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/5851;https://my.one.be/milieu-accueil/5851;googlemaps0%2C4.382851900000487;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.81385520000236%2C4.382851900000487;50.8138552, 4.3828519;"{""coordinates"": [4.3828519, 50.8138552], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Alix Bauwens;Alix Bauwens;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue francois vekemans 48;frans vekemansstraat 48;1120;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.390080257829226;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89598074559731%2C4.390080257829226;50.8959807456, 4.3900802578;"{""coordinates"": [4.3900802578, 50.8959807456], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Heysel;Heysel;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue du heysel 3;heizelstraat 3;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.34229731896406;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89172160718404%2C4.34229731896406;50.8917216072, 4.342297319;"{""coordinates"": [4.342297319, 50.8917216072], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Espaces Enfance 6;Espaces Enfance 6;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue du miroir 7;spiegelstraat 7;1000;Bruxelles;Brussel;https://my.one.be/milieu-accueil/6671;https://my.one.be/milieu-accueil/6671;googlemaps0%2C4.347219502182429;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84019719053555%2C4.347219502182429;50.8401971905, 4.3472195022;"{""coordinates"": [4.3472195022, 50.8401971905], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Les Globe Trotteurs;Les Globe Trotteurs;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue des six jetons 38;zespenningenstraat 38;1000;Bruxelles;Brussel;https://creches.brussels.be;https://creches.brussels.be;googlemaps0%2C4.345360135295341;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.846181828170195%2C4.345360135295341;50.8461818282, 4.3453601353;"{""coordinates"": [4.3453601353, 50.8461818282], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Alexandre Bosquet;Alexandre Bosquet;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue du canal 51;vaartstraat 51;1000;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.349961202879945;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.854921951379794%2C4.349961202879945;50.8549219514, 4.3499612029;"{""coordinates"": [4.3499612029, 50.8549219514], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;L'Horizon;L'Horizon;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;place joseph benoit willems 11;joseph benoit willemsplein 11;1020;Bruxelles;Brussel;https://creches.brussels.be/fr;https://creches.brussels.be/fr;googlemaps0%2C4.350327794860636;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87548020194577%2C4.350327794860636;50.8754802019, 4.3503277949;"{""coordinates"": [4.3503277949, 50.8754802019], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
ONE;Maureen Dor;Maureen Dor;Crèche ou accueillant.e francophone subventionnée;Gesubsidieerde Franstalige crèche of onthaalouder;Français;Frans;;;Crèche;Crèche;subventionné;Gesubsidieerd;rue d anderlecht 147;anderlechtsesteenweg 147;1000;Bruxelles;Brussel;https://creches.brussels.be;https://creches.brussels.be;googlemaps0%2C4.340812433315886;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84554448542099%2C4.340812433315886;50.8455444854, 4.3408124333;"{""coordinates"": [4.3408124333, 50.8455444854], ""type"": ""Point""}";ONE;2026-03-03T01:00:00+01:00
